2025-06-16 15:40:19 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:40:19 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:31:43 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:31:43 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:31:43 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:31:43 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:31:43 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:31:43 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:31:43 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:31:43 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:31:43 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:31:43 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:20 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:20 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:20 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:20 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:20 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:20 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:21 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:21 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:21 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:21 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:21 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:52 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:52 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:52 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:52 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:52 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:52 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:32:52 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:32:52 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:32:52 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:33:32 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:33:32 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:33:32 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:33:32 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:33:32 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:33:51 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:33:51 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:33:51 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:33:51 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:33:51 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:34:06 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:34:06 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:34:06 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:34:06 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:34:06 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:35:07 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:35:07 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:35:07 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:35:07 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:35:07 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:35:07 | INFO | voice_audio_recorder | 開始錄音，預定時長: 10秒
2025-06-17 09:35:10 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:35:11 | INFO | voice_audio_recorder | 錄音已停止
2025-06-17 09:35:11 | ERROR | voice_audio_recorder | 保存音訊檔案失敗: 'recorded_audio'
2025-06-17 09:35:11 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:36:18 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
