2025-06-17 09:32:21 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:32:21 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:32:21 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:32:21 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:21 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:21 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:21 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:21 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:21 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:21 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:21 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:32:52 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:32:52 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:52 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:52 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:52 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:32:52 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:32:52 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:52 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:52 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:52 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:52 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:52 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:32:52 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Testing voice synthesis'
2025-06-17 09:32:52 | INFO | voice_tts_manager | 開始語音合成: 'Testing voice synthesis'
2025-06-17 09:32:55 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:32:55 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Hello World'
2025-06-17 09:32:55 | INFO | voice_tts_manager | 開始語音合成: 'Hello World'
2025-06-17 09:32:56 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:32:57 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Robot Framework Test'
2025-06-17 09:32:57 | INFO | voice_tts_manager | 開始語音合成: 'Robot Framework Test'
2025-06-17 09:32:59 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:33:00 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Language verification system'
2025-06-17 09:33:00 | INFO | voice_tts_manager | 開始語音合成: 'Language verification system'
2025-06-17 09:33:03 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:33:04 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:33:04 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:33:04 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:33:04 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:33:04 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:33:04 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:33:04 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:33:04 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:33:32 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:33:32 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:33:32 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:33:51 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:33:51 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:33:51 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:33:51 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:33:51 | INFO | voice_tts_manager | 語音速度設定為: 150.0
2025-06-17 09:33:51 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Hey Power Pro'
2025-06-17 09:33:51 | INFO | voice_tts_manager | 開始語音合成: 'Hey Power Pro'
2025-06-17 09:33:53 | INFO | voice_tts_manager | Google TTS 播放完成
2025-06-17 09:33:53 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:33:53 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:33:53 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:33:53 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:34:06 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:34:06 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:34:06 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:34:08 | INFO | voice_audio_recorder | 開始錄音，預定時長: 5秒
2025-06-17 09:34:10 | INFO | voice_audio_recorder | 錄音完成，實際時長: 2.01秒
2025-06-17 09:34:10 | INFO | voice_audio_recorder | 錄音已停止
2025-06-17 09:34:10 | ERROR | voice_audio_recorder | 保存音訊檔案失敗: 'recorded_audio'
2025-06-17 09:34:10 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:34:10 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:34:10 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:34:10 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:36:22 | INFO | voice_sound_detector | 特徵提取器初始化成功
